Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3295,"GP Compo, JS Whitaker, ...","The twentieth century reanalysis project",2011,"Quarterly Journal of …","Wiley Online Library","https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/QJ.776","https://scholar.google.com/scholar?cites=15451651214939420760&as_sdt=2005&sciodt=2007&hl=en",875,"2022-09-26 02:04:51","","10.1002/QJ.776","","",,,,,3295,299.55,1098,3,11,"… , with emphasis on the statistics of daily weather. It uses an … The inflation of first-guess error covariance by a factor r > 1.0 … As a hard limit to prevent spiraling inflation in the complete …","https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1002/qj.776","https://scholar.google.com/scholar?q=related:WHiy4-lKb9YJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
885,"E Nakamura, J Steinsson","High-frequency identification of monetary non-neutrality: the information effect",2018,"The Quarterly Journal of Economics","academic.oup.com","https://academic.oup.com/qje/article-abstract/133/3/1283/4828341","https://scholar.google.com/scholar?cites=384794186333330809&as_sdt=2005&sciodt=2007&hl=en",364,"2022-09-26 02:04:51","","","","",,,,,885,221.25,443,2,4,"… daily data on inflation swaps from Bloomberg. Finally, we estimate the response of stock prices to monetary announcements using daily … In Online Appendix D, we present three sets of …","https://www.nber.org/system/files/working_papers/w19260/w19260.pdf","https://scholar.google.com/scholar?q=related:eZ0IFEYQVwUJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
2708,"E Castronova","Synthetic worlds",2008,"Synthetic Worlds","degruyter.com","https://www.degruyter.com/document/doi/10.7208/9780226096315/html","https://scholar.google.com/scholar?cites=13786383447821430136&as_sdt=2005&sciodt=2007&hl=en",498,"2022-09-26 02:04:51","HTML","10.7208/9780226096315","","",,,,,2708,193.43,2708,1,14,"… From EverQuest to World of Warcraft, online games have … are starting to spend more time online than at their day jobs. … , they are real economies, displaying inflation, fraud, Chinese …","https://www.degruyter.com/document/doi/10.7208/9780226096315/html","https://scholar.google.com/scholar?q=related:eK240LMSU78J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
660,"RC Cornes, G van der Schrier, ...","An ensemble version of the E‐OBS temperature and precipitation data sets",2018,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2017JD028200","https://scholar.google.com/scholar?cites=17639930791043549120&as_sdt=2005&sciodt=2007&hl=en",261,"2022-09-26 02:04:51","","10.1029/2017JD028200","","",,,,,660,165.00,220,3,4,"… in earlier versions of E-OBS and reduces the inflation of the numbers of wet days. This inflation is a common problem in interpolations of daily precipitation and occurs as a result of the …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2017JD028200","https://scholar.google.com/scholar?q=related:wEegFpifzfQJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
164,"MC Medeiros, GFR Vasconcelos, Á Veiga, ...","Forecasting inflation in a data-rich environment: the benefits of machine learning methods",2021,"Journal of Business & …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/07350015.2019.1637745","https://scholar.google.com/scholar?cites=1204388313531777802&as_sdt=2005&sciodt=2007&hl=en",122,"2022-09-26 02:04:51","","10.1080/07350015.2019.1637745","","",,,,,164,164.00,41,4,1,"… and the availability of new datasets to forecast US inflation. Despite the skepticism in the previous … variables and inflation. Supplementary materials for this article are available online. …","https://www.tandfonline.com/doi/pdf/10.1080/07350015.2019.1637745","https://scholar.google.com/scholar?q=related:CoOxP8rYthAJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
5219,"GW Schwert","Why does stock market volatility change over time?",1989,"The journal of finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1989.tb02647.x","https://scholar.google.com/scholar?cites=4497233591026379598&as_sdt=2005&sciodt=2007&hl=en",560,"2022-09-26 02:04:51","","10.1111/j.1540-6261.1989.tb02647.x","","",,,,,5219,158.15,5219,1,33,"… bond return volatility with the volatility of inflation, money growth, and industrial production. … the sum of the squared daily returns (after subtracting the average daily return in the month): …","https://www.nber.org/system/files/working_papers/w2798/w2798.pdf","https://scholar.google.com/scholar?q=related:TusUqR9iaT4J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1701,"PR Hansen, A Lunde, JM Nason","The model confidence set",2011,"Econometrica","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.3982/ECTA5771","https://scholar.google.com/scholar?cites=15543069324926087757&as_sdt=2005&sciodt=2007&hl=en",565,"2022-09-26 02:04:51","","10.3982/ECTA5771","","",,,,,1701,154.64,567,3,11,"… First, we revisit the inflation forecasting problem posed by Stock and Watson (1999), and compute the MCS for their set of inflation forecasts. Second, we compare a number of Taylor …","https://www.econstor.eu/bitstream/10419/100950/1/wp2005-07.pdf","https://scholar.google.com/scholar?q=related:TXJ9RzMTtNcJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
2573,"LJ Christiano, TJ Fitzgerald","The band pass filter",2003,"international economic review","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-2354.t01-1-00076","https://scholar.google.com/scholar?cites=14045394522444218408&as_sdt=2005&sciodt=2007&hl=en",586,"2022-09-26 02:04:51","","10.1111/1468-2354.t01-1-00076","","",,,,,2573,135.42,1287,2,19,"… and inflation. We document a substantial, statistically significant shift in the money–inflation relationship before and after 1960. In the early period, the money–inflation relationship is …","https://www.nber.org/system/files/working_papers/w7257/w7257.pdf","https://scholar.google.com/scholar?q=related:KECBCOdD68IJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
4813,"F Black","Noise",1986,"The journal of finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1986.tb04513.x","https://scholar.google.com/scholar?cites=11873584669269521049&as_sdt=2005&sciodt=2007&hl=en",333,"2022-09-26 02:04:51","","10.1111/j.1540-6261.1986.tb04513.x","","",,,,,4813,133.69,4813,1,36,"… is observable, and by using daily returns we can come close … inflation (assuming neither gold prices or exchange rates are fixed), and everyone shifts to a lower expected rate of inflation…","https://s3.tidyhq.com/orgs/4d082b7e01bd/attachments/c720237c4fe22e278fd8c672c1cceea50eb4b3bc/October_2018_Newsletter.pdf","https://scholar.google.com/scholar?q=related:mXJVBllyx6QJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
220,"C Binder","Coronavirus fears and macroeconomic expectations",2020,"Review of Economics and Statistics","direct.mit.edu","https://direct.mit.edu/rest/article-abstract/102/4/721/96795","https://scholar.google.com/scholar?cites=1683462461838627889&as_sdt=2005&sciodt=2007&hl=en",504,"2022-09-26 02:04:51","","","","",,,,,220,110.00,220,1,2,"… Online appendix figure A.2 shows kernel density estimates of quantitative revisions to inflation … Online appendix table A.8 summarizes inflation expectations revisions based on …","","https://scholar.google.com/scholar?q=related:MZSYjjDcXBcJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
306,"LC Slivinski, GP Compo, JS Whitaker, ...","Towards a more reliable historical reanalysis: Improvements for version 3 of the Twentieth Century Reanalysis system",2019,"Quarterly Journal of …","Wiley Online Library","https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/qj.3598","https://scholar.google.com/scholar?cites=9665652564445616302&as_sdt=2005&sciodt=2007&hl=en",441,"2022-09-26 02:04:51","","10.1002/qj.3598","","",,,,,306,102.00,77,4,3,"… scales of weather to climate by providing sub-daily estimates of the Earth system with global … The inverse also occurs: the fixed inflation algorithm can result in too little inflation over data-…","https://centaur.reading.ac.uk/86130/1/slivinski_20crv3improveR1_system_appendPDF_proof_hi.pdf","https://scholar.google.com/scholar?q=related:rtgf6stLI4YJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
909,"N Christin","Traveling the Silk Road: A measurement analysis of a large anonymous online marketplace",2013,"Proceedings of the 22nd international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2488388.2488408","https://scholar.google.com/scholar?cites=3012053410644105141&as_sdt=2005&sciodt=2007&hl=en",361,"2022-09-26 02:04:51","","10.1145/2488388.2488408","","",,,,,909,101.00,909,1,9,"… estimates mentioned in the Silk Road online forum [6] ranging … We provide an estimate of the daily dollar amount of sales … rate, suggesting little inflation over our measurement interval. …","https://arxiv.org/pdf/1207.7139","https://scholar.google.com/scholar?q=related:tRfyUZ72zCkJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1872,"R Martin","Financialization of daily life",2002,"","Temple University Press","","https://scholar.google.com/scholar?cites=13538238264635839631&as_sdt=2005&sciodt=2007&hl=en",703,"2022-09-26 02:04:51","CITATION","","","",,,,,1872,93.60,1872,1,20,"","","https://scholar.google.com/scholar?q=related:j1Q4GPl74bsJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
2229,"RB Carter, FH Dark, AK Singh","Underwriter reputation, initial returns, and the long‐run performance of IPO stocks",1998,"The journal of finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.104624","https://scholar.google.com/scholar?cites=3974070651425312180&as_sdt=2005&sciodt=2007&hl=en",997,"2022-09-26 02:04:51","","10.1111/0022-1082.104624","","",,,,,2229,92.88,743,3,24,"… each firm are estimated from a time series of daily raw returns using the offer date +6 through … SIZE is deflated to the year 1979 using the annual inflation rate (CPI). Age is the age of the …","","https://scholar.google.com/scholar?q=related:tM2CsjO8JjcJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1921,"T Chordia, R Roll, A Subrahmanyam","Market liquidity and trading activity",2001,"The journal of finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00335","https://scholar.google.com/scholar?cites=17147494261538231236&as_sdt=2005&sciodt=2007&hl=en",667,"2022-09-26 02:04:51","","10.1111/0022-1082.00335","","",,,,,1921,91.48,640,3,21,"… scaling by the Consumer Price Index (all items) interpolated daily. 5 If g = CPI T / CPI T − 1 − 1 was the reported monthly inflation rate for calendar month T, which consisted of N days, …","http://www.acsu.buffalo.edu/~keechung/MGF743/Readings/L2.pdf","https://scholar.google.com/scholar?q=related:xBMJ9y0j-O0J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
88,"F D'Acunto, U Malmendier, J Ospina, ...","Exposure to grocery prices and inflation expectations",2021,"Journal of Political …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/713192","https://scholar.google.com/scholar?cites=5270766781326217983&as_sdt=2005&sciodt=2007&hl=en",208,"2022-09-26 02:04:51","","10.1086/713192","","",,,,,88,88.00,22,4,1,"… they directly observe in their daily lives to form expectations about aggregate inflation. As he discussed … of in-store shopping with online shopping affects the role of personal inflation on …","https://pages.stern.nyu.edu/~tkuchler/EHHF/Inflation_slides_Stern_PhD.pdf","https://scholar.google.com/scholar?q=related:_9LgPnaGJUkJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
170,"A van der Schatte Olivier, L Jones, LL Vay, ...","A global review of the ecosystem services provided by bivalve aquaculture",2020,"Reviews in …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/raq.12301","https://scholar.google.com/scholar?cites=5643056941051827480&as_sdt=2005&sciodt=2007&hl=en",796,"2022-09-26 02:04:51","","10.1111/raq.12301","","",,,,,170,85.00,43,4,2,"Bivalve shellfish aquaculture provides many benefits to society, beyond their traditional market value. This study collates the evidence available on the provisioning, regulating and …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/raq.12301","https://scholar.google.com/scholar?q=related:GFWywmMqUE4J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1521,"EF Gross","Adolescent Internet use: What we expect, what teens report",2004,"Journal of applied developmental psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0193397304000772","https://scholar.google.com/scholar?cites=3180598167319022941&as_sdt=2005&sciodt=2007&hl=en",973,"2022-09-26 02:04:51","","","","",,,,,1521,84.50,1521,1,18,"… or daily measures of well-being (ie, loneliness, social anxiety, depression, or … online and lying about their age so they can pass for 70 or even 50. But does a teenager's age inflation …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.941.1013&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:XQ1PgC7BIywJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
769,"AT Stephen, J Galak","The effects of traditional and social earned media on sales: A study of a microlending marketplace",2012,"Journal of marketing research","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1509/jmr.09.0401","https://scholar.google.com/scholar?cites=12867456051620947236&as_sdt=2005&sciodt=2007&hl=en",490,"2022-09-26 02:04:51","","10.1509/jmr.09.0401","","",,,,,769,76.90,385,2,10,"… time-series data covering the daily sales and earned media … the online community, we treat CommPosts t as a measure of … zeros, we introduce zero inflation using a finite mixture in the …","","https://scholar.google.com/scholar?q=related:JCXRrxpjkrIJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
147,"KAA Gamage, EK Silva, N Gunawardhana","Online delivery and assessment during COVID-19: Safeguarding academic integrity",2020,"Education Sciences","mdpi.com","https://www.mdpi.com/869020","https://scholar.google.com/scholar?cites=9276602123765272558&as_sdt=2005&sciodt=2007&hl=en",525,"2022-09-26 02:04:51","","","","",,,,,147,73.50,49,3,2,"… Globally, the number of COVID-19 cases continues to rise daily despite strict … inflation means the awarding of a higher grade due to the decline of grading standards. Grade inflation …","https://www.mdpi.com/2227-7102/10/11/301/pdf","https://scholar.google.com/scholar?q=related:7s-pZXscvYAJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1253,"ML Ybarra, KJ Mitchell","Youth engaging in online harassment: Associations with caregiver–child relationships, Internet use, and personal characteristics",2004,"Journal of adolescence","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140197104000399","https://scholar.google.com/scholar?cites=10729240039641537365&as_sdt=2005&sciodt=2007&hl=en",963,"2022-09-26 02:04:51","","","","",,,,,1253,69.61,627,2,18,"… Youth respondents were asked to rate their daily interactions with their caregiver. Nine … on variance inflation factors and all were found to be acceptable (mean Variance Inflation …","https://dev.innovativepublichealth.org/wp-content/uploads/2004/06/JOA_youth_engaging_in_online_harassment.pdf","https://scholar.google.com/scholar?q=related:VVu7WPjq5ZQJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
271,"J Engelberg, RD McLean, J Pontiff","Anomalies and news",2018,"The Journal of Finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12718","https://scholar.google.com/scholar?cites=8766133782775812527&as_sdt=2005&sciodt=2007&hl=en",789,"2022-09-26 02:04:51","","10.1111/jofi.12718","","",,,,,271,67.75,90,3,4,"… When we include a variety of fixed effects to absorb any daily variation in risk factors, our … to one if there is a scheduled announcement regarding inflation, employment, or interest rates, …","","https://scholar.google.com/scholar?q=related:r1Hn_zqQp3kJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
203,"M Hazumi, PAR Ade, Y Akiba, D Alonso, ...","LiteBIRD: a satellite for the studies of B-mode polarization and inflation from cosmic background radiation detection",2019,"Journal of Low …","Springer","https://link.springer.com/article/10.1007/s10909-019-02150-5","https://scholar.google.com/scholar?cites=4353506904669047764&as_sdt=2005&sciodt=2007&hl=en",459,"2022-09-26 02:04:51","","10.1007/s10909-019-02150-5","","",,,,,203,67.67,41,5,3,"… inflation, which hypothesizes that our universe went through an accelerating expansion at the very early stage before the hot Big Bang. The cosmic inflation … of the cosmic inflation by …","https://www.osti.gov/pages/servlets/purl/1528777","https://scholar.google.com/scholar?q=related:1EsCxHbDajwJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
338,"A Cavallo","Are online and offline prices similar? Evidence from large multi-channel retailers",2017,"American Economic Review","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/aer.20160542","https://scholar.google.com/scholar?cites=3384266542668868112&as_sdt=2005&sciodt=2007&hl=en",329,"2022-09-26 02:04:51","","","","",,,,,338,67.60,338,1,5,"… experimenting with daily online price indexes … online prices for the retailer in Argentina where 79 percent of prices are higher online is not a problem for measuring inflation if the online …","https://www.nber.org/system/files/working_papers/w22142/w22142.pdf","https://scholar.google.com/scholar?q=related:EGoEbX1U9y4J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
1177,"A Durnev, R Morck, B Yeung","Value‐enhancing capital budgeting and firm‐specific stock return variation",2004,"The Journal of Finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2004.00627.x","https://scholar.google.com/scholar?cites=8853062190469516747&as_sdt=2005&sciodt=2007&hl=en",679,"2022-09-26 02:04:51","","10.1111/j.1540-6261.2004.00627.x","","",,,,,1177,65.39,392,3,18,"… We use daily total returns for 1990 through 1992 for the 4,029 firms in the intersection of CRSP and COMPUSTAT. These span 196 three-digit SIC industries. The Appendix provides …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.363.2200&rep=rep1&type=pdf#page=179","https://scholar.google.com/scholar?q=related:y41gHShl3HoJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
120,"A Cavallo","Inflation with Covid consumption baskets",2020,"","nber.org","https://www.nber.org/papers/w27352","https://scholar.google.com/scholar?cites=14927331944717981537&as_sdt=2005&sciodt=2007&hl=en",254,"2022-09-26 02:04:51","","","","",,,,,120,60.00,120,1,2,"… Further information is available online at http://www.nber.org/papers/w27352.ack … To build the “Covid Basket,” I start with daily measures of the change in US consumption patterns since …","https://www.nber.org/system/files/working_papers/w27352/w27352.pdf","https://scholar.google.com/scholar?q=related:YZdBuVCJKM8J:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
231,"A Cavallo","Scraped data and sticky prices",2018,"Review of Economics and Statistics","direct.mit.edu","https://direct.mit.edu/rest/article-abstract/100/1/105/58407","https://scholar.google.com/scholar?cites=15026814875295066181&as_sdt=2005&sciodt=2007&hl=en",521,"2022-09-26 02:04:51","","","","",,,,,231,57.75,231,1,4,"… Relative to previous results, I find that online prices have … of price changes in online data when sampled at daily, weekly, and … In the appendix, I show that inflation is correlated with the …","https://www.nber.org/system/files/working_papers/w21490/w21490.pdf","https://scholar.google.com/scholar?q=related:RaiEe4P4idAJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
338,"A Cavallo, R Rigobon","The billion prices project: Using online prices for measurement and research",2016,"Journal of Economic Perspectives","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/jep.30.2.151","https://scholar.google.com/scholar?cites=12820947238178052851&as_sdt=2005&sciodt=2007&hl=en",15,"2022-09-26 02:04:51","","10.1257/jep.30.2.151","","",,,,,338,56.33,169,2,6,"… online prices can be used to construct daily … daily US index, shown in Figure 2, is a great example. Despite the multiple reasons why we might expect inflation indexes based on online …","https://pubs.aeaweb.org/doi/pdf/10.1257/jep.30.2.151","https://scholar.google.com/scholar?q=related:89qgt5Un7bEJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
500,"D Maraun","Bias correction, quantile mapping, and downscaling: Revisiting the inflation issue",2013,"Journal of Climate","journals.ametsoc.org","https://journals.ametsoc.org/view/journals/clim/26/6/jcli-d-12-00821.1.xml","https://scholar.google.com/scholar?cites=1661957123498877744&as_sdt=2005&sciodt=2007&hl=en",125,"2022-09-26 02:04:51","HTML","","","",,,,,500,55.56,500,1,9,"… daily precipitation that such quantile mapping–based downscaling is not feasible but introduces similar problems as inflation of … Here, I show that inflation-related problems also occur for …","https://journals.ametsoc.org/view/journals/clim/26/6/jcli-d-12-00821.1.xml","https://scholar.google.com/scholar?q=related:MKMUyjJ1EBcJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
267,"K Nonomura, SH Woo, RB Chang, A Gillich, Z Qiu, ...","Piezo2 senses airway stretch and mediates lung inflation-induced apnoea",2017,"Nature","nature.com","https://www.nature.com/articles/nature20793","https://scholar.google.com/scholar?cites=315003350278603435&as_sdt=2005&sciodt=2007&hl=en",902,"2022-09-26 02:04:51","","","","",,,,,267,53.40,45,6,5,"… –Breuer inspiratory reflex: artificial inflation of lungs in anaesthetized animals induces … information (for example, measurements of lung inflation, arterial oxygen pressure, and arterial pH…","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5267560/","https://scholar.google.com/scholar?q=related:qwJqzOAdXwQJ:scholar.google.com/&scioq=daily+inflation+online&hl=en&as_sdt=2007"
