Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30964,"RF Engle","Autoregressive conditional heteroscedasticity with estimates of the variance of United Kingdom inflation",1982,"Econometrica: Journal of the econometric society","JSTOR","https://www.jstor.org/stable/1912773","https://scholar.google.com/scholar?cites=15648985495600206042&as_sdt=2005&sciodt=2007&hl=en",872,"2022-09-26 02:01:20","","","","",,,,,30964,774.10,30964,1,40,"… This analysis immediately suggests the usefulness of the ARCH model where the underlying forecast variance may change over time and is predicted by past forecast errors. The …","http://www.econ.uiuc.edu/~econ508/Papers/engle82.pdf","https://scholar.google.com/scholar?q=related:2pB9eGVdLNkJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
2592,"GW Evans, S Honkapohja","Learning and expectations in macroeconomics",2012,"Learning and Expectations in …","degruyter.com","https://www.degruyter.com/document/doi/10.1515/9781400824267/html","https://scholar.google.com/scholar?cites=14498364691990508614&as_sdt=2005&sciodt=2007&hl=en",683,"2022-09-26 02:01:20","HTML","10.1515/9781400824267","","",,,,,2592,259.20,1296,2,10,"… , the current standard hypothesis about expectations in macroeconomic theory. We focus on … using forecast functions formulated on the basis of available data, and these forecast …","https://www.degruyter.com/document/doi/10.1515/9781400824267/html","https://scholar.google.com/scholar?q=related:RvQoKt-JNMkJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
250,"O Coibion, Y Gorodnichenko, ...","Monetary policy communications and their effects on household inflation expectations",2022,"Journal of Political …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/full/10.1086/718982","https://scholar.google.com/scholar?cites=1739960204744047018&as_sdt=2005&sciodt=2007&hl=en",22,"2022-09-26 02:01:20","HTML","10.1086/718982","","",,,,,250,250.00,83,3,1,"… and anchored inflation expectations, it is not clear whether informing the broader population about the prevailing inflation rate, the forecast of the inflation rate, or the inflation rate that …","https://www.journals.uchicago.edu/doi/full/10.1086/718982","https://scholar.google.com/scholar?q=related:qrkVZ5aUJRgJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
164,"MC Medeiros, GFR Vasconcelos, Á Veiga, ...","Forecasting inflation in a data-rich environment: the benefits of machine learning methods",2021,"Journal of Business & …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/07350015.2019.1637745","https://scholar.google.com/scholar?cites=1204388313531777802&as_sdt=2005&sciodt=2007&hl=en",847,"2022-09-26 02:01:20","","10.1080/07350015.2019.1637745","","",,,,,164,164.00,41,4,1,"… on inflation forecasts not only to inform monetary policy but also to anchor inflation expectations … our conclusions that ML methods should be considered seriously to forecast inflation. …","https://www.tandfonline.com/doi/pdf/10.1080/07350015.2019.1637745","https://scholar.google.com/scholar?q=related:CoOxP8rYthAJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
324,"P Bordalo, N Gennaioli, Y Ma, A Shleifer","Overreaction in macroeconomic expectations",2020,"American Economic Review","aeaweb.org","https://www.aeaweb.org/doi/10.1257/aer.20181219","https://scholar.google.com/scholar?cites=17358078911292301516&as_sdt=2005&sciodt=2007&hl=en",518,"2022-09-26 02:01:20","","10.1257/aer.20181219","","",,,,,324,162.00,81,4,2,"… For GDP and inflation we look at the annual growth rate from quarter t − 1 to quarter t + 3 . In SPF… We calculate forecasts, forecast errors, and forecast revisions at the individual level and …","https://www.nber.org/system/files/working_papers/w24932/w24932.pdf","https://scholar.google.com/scholar?q=related:zODGgs1I5PAJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
958,"U Malmendier, S Nagel","Learning from inflation experiences",2016,"The Quarterly Journal of Economics","academic.oup.com","https://academic.oup.com/qje/article-abstract/131/1/53/2461168","https://scholar.google.com/scholar?cites=3423391821365665870&as_sdt=2005&sciodt=2007&hl=en",114,"2022-09-26 02:01:20","","","","",,,,,958,159.67,479,2,6,"… 57 years of microdata on inflation expectations from the Reuters/… -experience forecast and measured inflation expectations. We … forecast by 1 percentage point, their one-year inflation …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.415.2661&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:TmB6P7lUgi8J:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
951,"O Coibion, Y Gorodnichenko","Information rigidity and the expectations formation process: A simple framework and new facts",2015,"American Economic Review","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/aer.20110306","https://scholar.google.com/scholar?cites=13237174961817666631&as_sdt=2005&sciodt=2007&hl=en",444,"2022-09-26 02:01:20","","","","",,,,,951,135.86,476,2,7,"… post inflation forecast errors on both current and lagged forecast … For the latter, we use inflation expectations from the … inflation swaps to extract measures of market expectations of CPI …","https://www.nber.org/system/files/working_papers/w16537/w16537.pdf","https://scholar.google.com/scholar?q=related:R0TWhH7ks7cJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
247,"O Coibion, Y Gorodnichenko, S Kumar, ...","Inflation expectations as a policy tool?",2020,"Journal of International …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022199620300167","https://scholar.google.com/scholar?cites=2780717756307584514&as_sdt=2005&sciodt=2007&hl=en",28,"2022-09-26 02:01:20","HTML","","","",,,,,247,123.50,62,4,2,"… Indeed, the strongest predictor of a household's inflation forecast is typically what they believe inflation has been over the recent past, something which is in principle readily available …","https://www.sciencedirect.com/science/article/pii/S0022199620300167","https://scholar.google.com/scholar?q=related:ArZVBREYlyYJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
2823,"LEO Svensson","Inflation forecast targeting: Implementing and monitoring inflation targets",1997,"European economic review","Elsevier","https://www.sciencedirect.com/science/article/pii/S0014292196000554","https://scholar.google.com/scholar?cites=14966141964864366639&as_sdt=2005&sciodt=2007&hl=en",38,"2022-09-26 02:01:20","","","","",,,,,2823,112.92,2823,1,25,"… It also provides measurement of the credibility of monetary policy, in the form of measures of inflation expectations relative to the inflation target. Both these measurements simplify the …","https://www.nber.org/system/files/working_papers/w5797/w5797.pdf","https://scholar.google.com/scholar?q=related:L6jOsdJqss8J:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
110,"AM Dietrich, K Kuester, GJ Müller, ...","News and uncertainty about COVID-19: Survey evidence and short-run economic impact",2022,"Journal of monetary …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393222000216","https://scholar.google.com/scholar?cites=6345903677910361464&as_sdt=2005&sciodt=2007&hl=en",667,"2022-09-26 02:01:20","","","","",,,,,110,110.00,28,4,1,"… Whereas the SCE asks for an unconditional forecast, we directly elicit consumers’ … and second moments of income and inflation expectations, and how the variables comove. …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8827064/","https://scholar.google.com/scholar?q=related:eCWx5MUtEVgJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
728,"O Coibion, Y Gorodnichenko","Is the Phillips curve alive and well after all? Inflation expectations and the missing disinflation",2015,"American Economic Journal …","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257%2Fmac.20130306&source=content_type%3Areact%7Cfirst_level_url%3Aarticle%7Csection%3Amain_content%7Cbutton%3Abody_link","https://scholar.google.com/scholar?cites=11937595682365417702&as_sdt=2005&sciodt=2007&hl=en",56,"2022-09-26 02:01:20","","","","",,,,,728,104.00,364,2,7,"… inflation expectations. We first document how the missing disinflation can be explained if firms hold inflation expectations … CPI inflation in its Monetary Reports, so we include its forecast …","https://www.nber.org/system/files/working_papers/w19598/w19598.pdf","https://scholar.google.com/scholar?q=related:5qigZwbcqqUJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
405,"O Coibion, Y Gorodnichenko, S Kumar","How do firms form their expectations? New survey evidence",2018,"American Economic Review","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/aer.20151299","https://scholar.google.com/scholar?cites=10652749222083470394&as_sdt=2005&sciodt=2007&hl=en",425,"2022-09-26 02:01:20","","","","",,,,,405,101.25,135,3,4,"… One likely reason why some firms’ inflation forecast errors are so large may therefore be … While our experimental evidence does suggest that changes in firms’ inflation expectations …","https://www.nber.org/system/files/working_papers/w21092/w21092.pdf","https://scholar.google.com/scholar?q=related:OqSaD_oq1pMJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
2171,"LEO Svensson","Open-economy inflation targeting",2000,"Journal of international economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022199698000786","https://scholar.google.com/scholar?cites=9018963447679216304&as_sdt=2005&sciodt=2007&hl=en",757,"2022-09-26 02:01:20","","","","",,,,,2171,98.68,2171,1,22,"… targeting', namely the use of an internal conditional inflation forecast as an … expectations channel allows monetary policy to affect inflation expectations which, in turn, affect inflation…","https://www.nber.org/system/files/working_papers/w6545/w6545.pdf","https://scholar.google.com/scholar?q=related:sOomnXjLKX0J:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
188,"O Coibion, Y Gorodnichenko, ...","Inflation expectations and firm decisions: New causal evidence",2020,"The Quarterly Journal of …","academic.oup.com","https://academic.oup.com/qje/article-abstract/135/1/165/5570592","https://scholar.google.com/scholar?cites=6316735438344862362&as_sdt=2005&sciodt=2007&hl=en",55,"2022-09-26 02:01:20","","","","",,,,,188,94.00,63,3,2,"… Each panel plots the kernel density of inflation expectations by forecast horizon (indicated in panel titles) for treated and control firms in the 2014Q4 wave of the survey. The bandwidth is …","https://www.nber.org/system/files/working_papers/w25412/w25412.pdf","https://scholar.google.com/scholar?q=related:mrqq5mmNqVcJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
88,"F D'Acunto, U Malmendier, J Ospina, ...","Exposure to grocery prices and inflation expectations",2021,"Journal of Political …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/713192","https://scholar.google.com/scholar?cites=5270766781326217983&as_sdt=2005&sciodt=2007&hl=en",213,"2022-09-26 02:01:20","","10.1086/713192","","",,,,,88,88.00,22,4,1,"… (2019a, 2019b, 2019c), who show that cognitive abilities are strongly correlated with forecast accuracy, uncertainty about future inflation, and responses to measures of fiscal and …","https://pages.stern.nyu.edu/~tkuchler/EHHF/Inflation_slides_Stern_PhD.pdf","https://scholar.google.com/scholar?q=related:_9LgPnaGJUkJ:scholar.google.com/&scioq=inflation+expectations+forecast&hl=en&as_sdt=2007"
